"Data_source"	"Reference"	"Year_published"	"Methanogen_specific"	"Sequencing_method"	"Database_information"	"Field_vs_lab"	"Source_from_paper"	"Original_sample_ID"	"Sample_type"	"Sample_age"	"Length_experiment"	"Family_reported"	"Genus_reported"	"Species_reported"	"Family_GTDB"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"TS"	"Leachate"	"0.5 years"	"NA"	NA	"Methanospirillum"	NA	"Methanospirillaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"TS"	"Leachate"	"0.5 years"	"NA"	NA	"Methanothermobacter"	NA	"Methanothermobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanimicrococcus"	NA	"Methanosarcinaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanobacterium"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanobrevibacter"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanocalculus"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanocorpusculum"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanolinea"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanomassiliicoccus"	NA	"Methanomassiliicoccaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanoregula"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanosaeta"	NA	"Methanotrichaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanospirillum"	NA	"Methanospirillaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-1"	"Leachate"	"0.4 years"	"NA"	NA	"Methanothermobacter"	NA	"Methanothermobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanimicrococcus"	NA	"Methanosarcinaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanobacterium"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanobrevibacter"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanocalculus"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanocaldococcus"	NA	"Methanocaldococcaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanocella"	NA	"Methanocellaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanocorpusculum"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanogenium"	NA	"Methanomicrobiaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanolinea"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanomassiliicoccus"	NA	"Methanomassiliicoccaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanoplanus"	NA	"Methanomicrobiaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanoregula"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanosaeta"	NA	"Methanotrichaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanospirillum"	NA	"Methanospirillaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	NA	"Methanothermobacter"	NA	"Methanothermobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	"Methanomicrobiaceae"	"NA"	NA	"Methanomicrobiaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"SH-2"	"Leachate"	"3.0 years"	"NA"	"Methanobacteriaceae"	"NA"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanobacterium"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanobrevibacter"	NA	"Methanobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanocalculus"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanocorpusculum"	NA	"Methanocorpusculaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanolinea"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanomassiliicoccus"	NA	"Methanomassiliicoccaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanoregula"	NA	"Methanoregulaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanosaeta"	NA	"Methanotrichaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanosarcina"	NA	"Methanosarcinaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanospirillum"	NA	"Methanospirillaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	NA	"Methanothermobacter"	NA	"Methanothermobacteriaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	"Methanomicrobiaceae"	"NA"	NA	"Methanomicrobiaceae"
"Literature"	"L. Song, *et al.* Appl. Microbiol. Biotechnol. **99**, 14, 6125-6137 (2015)"	2015	"Yes"	"16S"	"Mothur v.131.2 and Silver 111"	"Field"	"Table S2"	"YC"	"Leachate"	"0.2 years"	"NA"	"Methanomicrobiaceae"	"NA"	NA	"Methanomicrobiaceae"
"Literature"	"X. Qu, *et al.* FEMS Microbiol. Ecol. **68**, 2, 236-245 (2009)"	2009	"Yes"	"FISH-16S"	"NA"	"Lab"	"Figure 6"	"NA"	"Sludge"	"NA"	"200 days"	"Methanosarcinaceae"	NA	NA	"Methanosarcinaceae"
"Literature"	"X. Qu, *et al.* FEMS Microbiol. Ecol. **68**, 2, 236-245 (2009)"	2009	"Yes"	"FISH-16S"	"NA"	"Lab"	"Figure 6"	"NA"	"Sludge"	"NA"	"200 days"	"Methanosaetaceae"	NA	NA	"Methanotrichaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	"Methanosaetaceae"	NA	"Methanosaeta sp. AJ133791"	"Methanotrichaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanosaeta sp.AJ009514"	"Methanotrichaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanosaeta sp.AJ133791"	"Methanotrichaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanosaeta concilii X51423"	"Methanotrichaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	"Methanosarcinaceae"	NA	"Methanosarcina barkeri AJ002476"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanosarcina semesiae"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanosarcina sp. U81777"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	"Methanofollis"	"Methanofollis liminatans"	"Methanofollaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	"Methanoculleus"	"Methanoculleus palmeoli Y16428"	"Methanocullaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	"Methanoculleus"	"Methanoculleus sp. AJ133793"	"Methanocullaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Table 1"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	NA	"Methanomethylovorans hollandica AF120163"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"16S"	"ARB"	"Field"	"Discussion"	"One and Two"	"Leachate"	"5 to 11 years"	"NA"	NA	"Methanospirillum"	NA	"Methanospirillaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"FISH"	"NA"	"Lab"	"Figure 3 + Discussion"	"Acetatet experiment"	"Leachate"	"5 to 11 years"	"100 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"FISH"	"NA"	"Lab"	"Figure 3 + Discussion"	"Hydrogen and formate"	"Leachate"	"5 to 11 years"	"70 days"	"Methanosarcinacea"	"NA"	"NA"	"Methanosarcinaceae"
"Literature"	"W. Laloui-Carpentier *et al.* Antonie van Leeuwenhoek **89**, 3-4, 423-434 (2006)"	2006	"Yes"	"FISH"	"NA"	"Lab"	"Figure 3 + Discussion"	"methanol and methylamine"	"Leachate"	"5 to 11 years"	"100 days"	NA	"Methanosarcina"	"NA"	"Methanosarcinaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"SZ1"	"Solid waste"	"NA"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"SZ2"	"Solid waste"	"NA"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"SZ1"	"Solid waste"	"NA"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"SZ2"	"Solid waste"	"NA"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH1"	"Solid waste"	"NA"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH2"	"Solid waste"	"NA"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH3"	"Solid waste"	"NA"	"NA"	NA	"Methanoculleus"	NA	"Methanocullaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH1"	"Solid waste"	"NA"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH2"	"Solid waste"	"NA"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"S. Wan, *et al.* Diversity-Basel **13**, 6 (2021)"	2021	"No"	"Metagenomics"	"DIAMOND to blast against KEGG"	"Field"	"Figure 3b + Results from 3.3"	"WH3"	"Solid waste"	"NA"	"NA"	NA	"Methanofollis"	NA	"Methanofollaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"16S"	"NCBI BLAST"	NA	"Figure 1 and Results"	"MET1 LAND"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanoculleus"	"Methanoculleus thermophilus"	"Methanocullaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"16S"	"NCBI BLAST"	NA	"Figure 1 and Results"	"MET2 LAND"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanoculleus"	"Methanoculleus thermophilus"	"Methanocullaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"16S"	"NCBI BLAST"	NA	"Figure 1 and Results"	"MET3 LAND"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanomethylophilus"	"Methanomethylophilus alvus Mx1201"	"Methanomethylophilaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"16S"	"NCBI BLAST"	NA	"Figure 1 and Results"	"METG1 LAND"	"Leachate"	"NA"	"NA"	NA	"Methanomassiliicoccus"	"Methanomassiliicoccus luminyensis"	"Methanomassiliicoccaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Okhla"	"Leachate"	"NA"	"NA"	NA	"Methanomicrobium"	"Methanomicrobium mobile"	"Methanomicrobiaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Okhla"	"Leachate"	"NA"	"NA"	NA	"Methanobacterium"	"Methanobacterium bryantii"	"Methanobacteriaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Okhla"	"Leachate"	"NA"	"NA"	NA	"Methanobrevibacter"	"Methanobrevibacter arboriphilus"	"Methanobacteriaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Okhla"	"Leachate"	"NA"	"NA"	NA	"Methanosarcina"	"Methanosarcina mazei"	"Methanosarcinaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Bhalswa"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanomicrobium"	"Methanomicrobium mobile"	"Methanomicrobiaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Bhalswa"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanobacterium"	"Methanobacterium bryantii"	"Methanobacteriaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Bhalswa"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanobrevibacter"	"Methanobrevibacter arboriphilus"	"Methanobacteriaceae"
"Literature"	"S. Yadav, *et al.* Archaea **2015**, 1-9 (2015)"	2015	"Yes"	"qPCR"	"DSMZ"	NA	"Table 5"	"Bhalswa"	"Soil and Leachate"	"NA"	"NA"	NA	"Methanosarcina"	"Methanosarcina mazei"	"Methanosarcinaceae"
