Bin_ID	Marker_lineage_number		Number_genomes	Number_markers	Number_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity
STF1_140	k__Bacteria	(UID209)	5443	105	59	2	103	0	0	0	0	96.61	0	0
STF1_272	k__Bacteria	(UID209)	5443	105	59	2	103	0	0	0	0	96.61	0	0
STF2_205	k__Bacteria	(UID209)	5443	105	59	2	103	0	0	0	0	96.61	0	0
STF1_264	k__Bacteria	(UID2495)	2993	142	88	4	138	0	0	0	0	96.59	0	0
STCSWMC_52	k__Bacteria	(UID2570)	433	273	183	12	252	8	1	0	0	96.58	5.46	9.09
STB_61	c__Betaproteobacteria	(UID3959)	235	418	210	10	398	10	0	0	0	96.57	1.84	20
STD1_15	k__Bacteria	(UID2495)	2993	143	89	4	136	3	0	0	0	96.56	3.37	0
STC_51	o__Rhodospirillales	(UID3754)	63	336	201	21	313	2	0	0	0	96.54	0.75	100
STE_64	o__Bacteroidales	(UID2621)	198	427	260	27	397	3	0	0	0	96.54	1.15	0
STCSWMC_10	c__Clostridia	(UID1118)	387	223	124	9	211	3	0	0	0	96.53	1.48	33.33
STA_2	k__Bacteria	(UID2565)	2921	143	88	4	138	1	0	0	0	96.52	1.14	0
STB_21	k__Bacteria	(UID2565)	2921	143	88	4	138	1	0	0	0	96.52	1.14	0
STE_43	k__Bacteria	(UID2495)	2993	147	91	5	141	1	0	0	0	96.5	1.1	0
STCSWMC_189	o__Clostridiales	(UID1120)	304	247	141	5	236	6	0	0	0	96.45	2.84	66.67
STF2_22	o__Clostridiales	(UID1120)	304	247	141	6	239	2	0	0	0	96.45	1.42	0
STC_34	k__Bacteria	(UID3060)	138	335	244	26	299	10	0	0	0	96.41	3.69	20
STC_9	p__Euryarchaeota	(UID49)	95	228	153	6	216	6	0	0	0	96.41	2.94	16.67
STD1_54	p__Euryarchaeota	(UID49)	95	228	153	6	218	4	0	0	0	96.41	2.29	0
STE_1	k__Bacteria	(UID1452)	924	163	110	5	152	5	1	0	0	96.36	5.64	12.5
STB_111	p__Euryarchaeota	(UID49)	95	228	153	9	215	3	1	0	0	96.33	2.94	16.67
STC_122	k__Bacteria	(UID3060)	138	337	245	10	320	7	0	0	0	96.33	2.65	42.86
STF2_222	c__Clostridia	(UID1085)	35	420	196	12	406	2	0	0	0	96.33	0.34	0
STE_129	k__Bacteria	(UID3060)	138	335	244	10	315	10	0	0	0	96.31	2.87	20
STF2_145	o__Clostridiales	(UID1212)	172	263	149	6	251	6	0	0	0	96.31	1.23	66.67
STE_113	k__Bacteria	(UID209)	5443	105	59	4	101	0	0	0	0	96.3	0	0
STD2_192	k__Bacteria	(UID2570)	433	273	183	10	261	2	0	0	0	96.27	0.82	50
STC_123	k__Bacteria	(UID3060)	138	338	246	29	307	2	0	0	0	96.26	0.41	0
STCSWMC_106	k__Bacteria	(UID2569)	434	278	186	7	269	2	0	0	0	96.24	0.54	0
STD2_86	k__Bacteria	(UID2569)	434	278	186	8	268	2	0	0	0	96.24	1.08	100
STF1_1	k__Bacteria	(UID2569)	434	278	186	7	270	1	0	0	0	96.24	0.54	0
STC_105	k__Bacteria	(UID2570)	433	273	183	10	260	2	1	0	0	96.17	1.29	40
STCSWMC_71	k__Bacteria	(UID2570)	433	273	183	8	253	12	0	0	0	96.17	5.57	33.33
STD1_196	k__Bacteria	(UID2570)	433	273	183	11	260	2	0	0	0	96.17	0.6	100
STF1_34	k__Bacteria	(UID2570)	433	273	183	11	261	1	0	0	0	96.17	0.14	100
STF1_66	k__Bacteria	(UID2565)	2921	152	93	5	144	3	0	0	0	96.17	3.23	0
STD1_212	k__Bacteria	(UID3187)	2258	188	117	6	179	3	0	0	0	96.15	2.56	33.33
STCSWMC_41	c__Deltaproteobacteria	(UID3216)	83	247	155	6	235	6	0	0	0	96.13	3.55	0
STCSWMC_211	p__Euryarchaeota	(UID3)	148	187	124	6	177	4	0	0	0	96.1	1.13	75
STE_66	o__Clostridiales	(UID1120)	304	247	141	6	241	0	0	0	0	96.1	0	0
STB_67	c__Betaproteobacteria	(UID3959)	235	418	210	13	401	4	0	0	0	96.08	0.86	0
STB_49	c__Betaproteobacteria	(UID3959)	235	418	210	9	404	5	0	0	0	96.03	0.81	20
STF2_13	p__Bacteroidetes	(UID2605)	350	316	210	9	295	9	3	0	0	96.03	5.48	5.56
STCSWMC_38	c__Deltaproteobacteria	(UID3216)	83	247	155	14	225	8	0	0	0	96.01	4.35	25
STF2_49	k__Bacteria	(UID2328)	3167	126	75	3	116	7	0	0	0	96	5.44	100
STE_159	o__Clostridiales	(UID1212)	172	263	149	7	253	3	0	0	0	95.97	1.06	33.33
STE_81	p__Proteobacteria	(UID3061)	115	395	260	12	377	6	0	0	0	95.96	1.98	33.33
STCSWMC_95	p__Bacteroidetes	(UID2605)	350	316	210	10	295	11	0	0	0	95.95	2.89	18.18
STE_109	p__Bacteroidetes	(UID2605)	350	316	210	10	304	2	0	0	0	95.94	0.71	0
STB_99	k__Bacteria	(UID3060)	138	338	246	11	322	5	0	0	0	95.93	1.83	60
STF1_25	c__Deltaproteobacteria	(UID3216)	83	247	155	10	234	3	0	0	0	95.86	1.29	0
STF1_129	p__Euryarchaeota	(UID54)	90	234	153	10	220	4	0	0	0	95.84	2.61	25
STCSWMC_201	o__Bacteroidales	(UID2621)	198	427	260	15	411	1	0	0	0	95.83	0.38	0
STE_53	k__Bacteria	(UID1452)	924	163	110	6	152	5	0	0	0	95.83	4.09	40
STF1_176	p__Firmicutes	(UID1022)	100	295	158	11	272	12	0	0	0	95.83	3.51	66.67
STD2_203	p__Euryarchaeota	(UID49)	95	228	153	7	217	4	0	0	0	95.75	2.29	0
STA_17	c__Betaproteobacteria	(UID3959)	235	418	210	16	399	3	0	0	0	95.71	0.79	66.67
STD1_5	k__Bacteria	(UID1452)	924	151	101	5	144	2	0	0	0	95.71	1.98	0
STE_19	p__Bacteroidetes	(UID2605)	350	316	210	9	303	4	0	0	0	95.71	1.9	25
STD2_97	k__Bacteria	(UID2569)	434	278	186	8	258	12	0	0	0	95.7	5.65	8.33
STE_191	k__Bacteria	(UID2569)	434	278	186	9	255	13	1	0	0	95.7	6.45	12.5
STF2_223	k__Bacteria	(UID2569)	434	278	186	10	262	6	0	0	0	95.68	2.15	16.67
STCSWMC_44	p__Bacteroidetes	(UID2605)	350	316	210	11	301	4	0	0	0	95.62	1.43	0
STE_157	f__Rhodocyclaceae	(UID3972)	30	540	241	25	499	16	0	0	0	95.62	2.25	31.25
STD2_184	o__Clostridiales	(UID1226)	155	278	158	25	252	1	0	0	0	95.61	0.63	0
STD2_226	f__Lachnospiraceae	(UID1255)	90	354	174	15	329	10	0	0	0	95.61	4.09	20
STA_47	k__Bacteria	(UID1452)	924	151	101	6	140	5	0	0	0	95.6	2.73	80
STD2_59	o__Bacteroidales	(UID2621)	198	427	260	12	411	3	1	0	0	95.58	1.41	0
STF2_203	c__Clostridia	(UID1085)	35	420	196	11	408	1	0	0	0	95.58	0.51	0
STF1_155	k__Bacteria	(UID2328)	3167	126	75	7	116	3	0	0	0	95.56	2.67	100
STF2_37	c__Clostridia	(UID1118)	387	223	124	8	212	3	0	0	0	95.56	1.48	0
STCSWMC_204	c__Clostridia	(UID1118)	387	223	124	7	214	2	0	0	0	95.54	1.21	0
STF2_148	k__Bacteria	(UID2495)	2993	147	91	5	141	1	0	0	0	95.54	1.1	0
STD2_139	k__Bacteria	(UID2329)	174	149	89	4	144	1	0	0	0	95.51	1.12	0
STCSWMC_138	c__Deltaproteobacteria	(UID3216)	83	246	155	7	226	13	0	0	0	95.48	2.4	0
STF1_174	c__Deltaproteobacteria	(UID3216)	83	247	155	10	232	5	0	0	0	95.48	3.23	0
STF2_172	p__Bacteroidetes	(UID2605)	350	316	210	11	302	3	0	0	0	95.48	1.19	0
STC_66	o__Burkholderiales	(UID4000)	193	427	214	36	385	6	0	0	0	95.43	1.78	16.67
STCSWMC_139	c__Clostridia	(UID1085)	35	420	196	12	404	4	0	0	0	95.43	0.49	25
STF1_64	k__Bacteria	(UID2569)	434	278	186	9	268	1	0	0	0	95.43	0.27	0
STF2_19	k__Bacteria	(UID2569)	434	278	186	9	269	0	0	0	0	95.43	0	0
STD2_82	f__Flavobacteriaceae	(UID2817)	81	511	283	22	451	36	2	0	0	95.41	9.2	4.76
STD1_211	k__Bacteria	(UID3187)	2258	187	116	8	174	5	0	0	0	95.4	3.02	40
STD1_42	k__Bacteria	(UID1452)	924	151	101	6	141	4	0	0	0	95.38	3.17	0
STD2_144	k__Bacteria	(UID2569)	434	278	186	10	267	1	0	0	0	95.38	0.27	0
STD2_161	f__Rhodocyclaceae	(UID3972)	30	540	241	15	524	1	0	0	0	95.37	0.14	0
STE_40	k__Bacteria	(UID2570)	433	273	183	13	260	0	0	0	0	95.36	0	0
STF2_107	k__Bacteria	(UID2570)	433	273	183	11	259	2	1	0	0	95.36	2.19	40
STD1_70	k__Bacteria	(UID2565)	2921	143	88	5	134	4	0	0	0	95.35	4.55	0
STC_46														
STD1_72	k__Bacteria	(UID1453)	901	171	117	6	157	8	0	0	0	95.3	5.13	12.5
STCSWMC_101	o__Bacteroidales	(UID2617)	213	406	265	15	391	0	0	0	0	95.28	0	0
STD1_38	k__Bacteria	(UID2982)	88	230	148	8	218	4	0	0	0	95.27	2.7	0
STD2_188	p__Euryarchaeota	(UID49)	95	228	153	9	216	3	0	0	0	95.26	1.31	33.33
STD2_68	p__Euryarchaeota	(UID49)	95	228	153	9	218	1	0	0	0	95.26	0.65	0
STD2_91	o__Clostridiales	(UID1226)	155	278	158	11	267	0	0	0	0	95.25	0	0
STF1_292	p__Bacteroidetes	(UID2605)	350	316	210	10	301	5	0	0	0	95.24	1.25	60
STC_83	o__Burkholderiales	(UID4105)	54	553	264	53	496	4	0	0	0	95.21	0.73	100
STB_54	k__Bacteria	(UID2565)	2921	152	93	5	145	2	0	0	0	95.16	1.61	0
STCSWMC_109	k__Bacteria	(UID2569)	434	278	186	9	247	20	2	0	0	95.16	9.14	7.69
STCSWMC_156	k__Bacteria	(UID2569)	434	278	186	9	263	6	0	0	0	95.16	2.06	0
STCSWMC_223	k__Bacteria	(UID2569)	434	278	186	10	254	14	0	0	0	95.16	4.12	0
STD1_55	k__Bacteria	(UID2565)	2921	152	93	5	144	3	0	0	0	95.16	2.69	0
STD2_181	k__Bacteria	(UID2569)	434	278	186	10	267	1	0	0	0	95.16	0.54	0
STE_145	k__Bacteria	(UID2569)	434	278	186	10	262	5	1	0	0	95.16	2.44	62.5
STE_156	k__Bacteria	(UID2569)	434	278	186	10	266	2	0	0	0	95.16	1.08	50
STF1_262	k__Bacteria	(UID2569)	434	278	186	10	267	1	0	0	0	95.16	0.54	0
STF2_133	k__Bacteria	(UID2569)	434	278	186	10	266	2	0	0	0	95.16	0.54	0
STF2_200	k__Bacteria	(UID2569)	434	278	186	9	263	6	0	0	0	95.16	2.06	0
STB_41	p__Bacteroidetes	(UID2605)	350	316	210	12	300	4	0	0	0	95.14	1.43	0
STD1_37	p__Bacteroidetes	(UID2605)	350	316	210	12	298	6	0	0	0	95.14	1.9	0
STD2_225	p__Bacteroidetes	(UID2605)	350	316	210	12	300	4	0	0	0	95.14	1.43	0
STE_169	p__Bacteroidetes	(UID2605)	350	316	210	12	300	4	0	0	0	95.14	1.43	0
STF1_199	p__Bacteroidetes	(UID2605)	350	316	210	12	300	4	0	0	0	95.14	1.43	0
STF2_48	p__Bacteroidetes	(UID2605)	350	316	210	12	300	4	0	0	0	95.14	1.43	0
STF2_108	c__Clostridia	(UID1085)	35	420	196	15	397	8	0	0	0	95.12	2.47	37.5
STD1_46	k__Bacteria	(UID2565)	2921	152	93	6	144	2	0	0	0	95.1	1.61	0
STF2_177	k__Bacteria	(UID2570)	433	273	183	9	261	3	0	0	0	95.08	0.82	33.33
STE_21	k__Bacteria	(UID2495)	2993	147	91	6	139	2	0	0	0	95.05	2.2	50
STB_183	c__Gammaproteobacteria	(UID4274)	112	575	289	30	521	24	0	0	0	95.04	4.68	16.67
STCSWMC_119	p__Bacteroidetes	(UID2605)	350	316	210	12	301	3	0	0	0	95	1.19	0
STD2_232	k__Bacteria	(UID2329)	174	149	89	5	142	2	0	0	0	94.94	1.69	0
STE_209	o__Clostridiales	(UID1226)	155	278	158	12	266	0	0	0	0	94.94	0	0
STA_20	p__Proteobacteria	(UID3882)	1493	258	161	19	230	8	1	0	0	94.92	5.3	100
STE_102	k__Bacteria	(UID209)	5443	105	59	6	99	0	0	0	0	94.92	0	0
STF1_39	k__Bacteria	(UID209)	5443	105	59	3	102	0	0	0	0	94.92	0	0
STF1_62	k__Bacteria	(UID209)	5443	105	59	3	101	1	0	0	0	94.92	1.69	100
STD2_76	o__Lactobacillales	(UID543)	294	472	265	20	451	1	0	0	0	94.91	0.13	0
STCSWMC_177	k__Bacteria	(UID238)	2248	125	78	4	121	0	0	0	0	94.87	0	0
STF2_214	k__Bacteria	(UID238)	2248	125	78	4	119	2	0	0	0	94.87	0.36	100
STA_44	k__Archaea	(UID2)	207	149	107	6	143	0	0	0	0	94.86	0	0
STCSWMC_15	p__Bacteroidetes	(UID2605)	350	316	210	12	297	5	2	0	0	94.84	3.57	18.18
STCSWMC_178	c__Deltaproteobacteria	(UID3216)	83	246	155	8	222	15	1	0	0	94.84	9.68	55.56
STA_27	k__Bacteria	(UID2570)	433	273	183	10	260	3	0	0	0	94.81	1.64	0
STD1_25	k__Bacteria	(UID2565)	2921	152	93	6	145	1	0	0	0	94.8	1.08	0
STE_111	p__Euryarchaeota	(UID3)	148	188	125	7	180	1	0	0	0	94.8	0.8	100
STD2_157	o__Bacteroidales	(UID2621)	198	427	260	25	400	2	0	0	0	94.77	0.58	0
STF1_4	k__Bacteria	(UID2570)	433	273	183	16	242	13	2	0	0	94.77	7.65	52.63
STF1_274	k__Bacteria	(UID209)	5443	105	59	5	98	2	0	0	0	94.76	1.85	0
STF1_293	p__Euryarchaeota	(UID3)	148	187	124	7	180	0	0	0	0	94.76	0	0
STB_151	k__Bacteria	(UID203)	5449	103	57	3	87	9	4	0	0	94.74	6.33	9.52
STF2_165	c__Clostridia	(UID1118)	387	223	124	8	213	2	0	0	0	94.73	1.21	0
STE_186	p__Proteobacteria	(UID3880)	1495	261	164	12	235	14	0	0	0	94.72	5.23	42.86
STD1_214	p__Bacteroidetes	(UID2605)	350	316	210	21	287	8	0	0	0	94.71	3.02	25
STC_56	p__Bacteroidetes	(UID2605)	350	316	210	14	298	4	0	0	0	94.67	1.43	0
STF1_250	k__Bacteria	(UID2328)	3167	126	75	4	117	5	0	0	0	94.67	6	80
STE_11	o__Clostridiales	(UID1212)	172	263	149	8	253	2	0	0	0	94.63	1.34	0
STE_60	k__Bacteria	(UID2570)	433	273	183	13	257	3	0	0	0	94.63	1.64	66.67
STF2_78	o__Clostridiales	(UID1212)	172	263	149	9	250	4	0	0	0	94.63	2.07	25
STF2_85	c__Clostridia	(UID1085)	35	420	196	24	369	26	1	0	0	94.63	6.13	3.45
STE_149	k__Bacteria	(UID2569)	434	278	186	10	265	2	1	0	0	94.62	2.15	0
STF2_208	k__Bacteria	(UID2569)	434	278	186	12	265	1	0	0	0	94.62	0.54	0
STF1_5	p__Bacteroidetes	(UID2605)	350	316	210	18	292	6	0	0	0	94.59	2	16.67
STD2_153	f__Lachnospiraceae	(UID1255)	90	354	174	14	334	6	0	0	0	94.57	2.61	0
STA_37	k__Bacteria	(UID2570)	433	273	183	15	253	5	0	0	0	94.54	1.25	100
STD2_194	k__Bacteria	(UID2570)	433	273	183	11	260	2	0	0	0	94.54	1.09	50
STD2_73	o__Bacteroidales	(UID2657)	160	492	269	29	441	20	2	0	0	94.54	4.93	7.69
STD2_170	c__Deltaproteobacteria	(UID3216)	83	247	155	9	233	5	0	0	0	94.52	3.23	0
STF2_137	p__Bacteroidetes	(UID2605)	350	316	210	13	299	4	0	0	0	94.52	1.43	25
STC_101	f__Moraxellaceae	(UID4680)	86	689	365	36	646	7	0	0	0	94.51	1.16	42.86
STCSWMC_131	k__Bacteria	(UID2495)	2993	147	91	5	140	2	0	0	0	94.51	2.2	0
STD1_216	k__Bacteria	(UID2495)	2993	147	91	5	142	0	0	0	0	94.51	0	0
STF1_175	k__Bacteria	(UID2495)	2993	147	91	5	141	1	0	0	0	94.51	1.1	0
STF1_110	c__Clostridia	(UID1085)	35	420	196	25	386	9	0	0	0	94.5	1.47	22.22
STD2_75	c__Alphaproteobacteria	(UID3305)	564	349	230	16	313	19	1	0	0	94.49	5.59	27.27
STF1_269	k__Bacteria	(UID203)	5449	102	56	4	98	0	0	0	0	94.48	0	0
STD1_194	k__Bacteria	(UID1452)	924	163	110	8	155	0	0	0	0	94.46	0	0
STA_56	p__Euryarchaeota	(UID49)	95	228	153	9	217	2	0	0	0	94.44	1.31	50
STD2_4	k__Bacteria	(UID2495)	2993	147	91	7	138	2	0	0	0	94.44	2.2	0
STC_124	k__Bacteria	(UID3060)	138	338	246	31	295	12	0	0	0	94.43	3.25	91.67
STF2_112	k__Bacteria	(UID2495)	2993	147	91	6	140	1	0	0	0	94.41	1.1	0
STD2_78	f__Comamonadaceae	(UID4119)	39	693	323	26	662	5	0	0	0	94.39	0.83	0
STB_132	k__Bacteria	(UID2495)	2993	143	89	5	135	3	0	0	0	94.38	2.81	33.33
STB_19	k__Bacteria	(UID2495)	2993	143	89	6	126	10	1	0	0	94.38	6.26	30.77
STCSWMC_93	k__Bacteria	(UID2569)	434	278	186	11	266	1	0	0	0	94.35	0.27	100
STD2_84	f__Flavobacteriaceae	(UID2817)	81	511	283	38	471	2	0	0	0	94.35	0.47	0
STF1_191	k__Bacteria	(UID2569)	434	278	186	12	264	2	0	0	0	94.35	0.54	0
STF2_184	k__Bacteria	(UID2372)	131	177	106	9	166	2	0	0	0	94.34	1.89	50
STD1_102	k__Bacteria	(UID2495)	2993	143	89	6	131	6	0	0	0	94.32	5.12	16.67
STD2_122	k__Bacteria	(UID2495)	2993	142	88	5	137	0	0	0	0	94.32	0	0
STCSWMC_83	c__Gammaproteobacteria	(UID4444)	263	507	232	21	478	8	0	0	0	94.31	2.37	25
STF2_5	o__Clostridiales	(UID1212)	172	263	149	14	244	5	0	0	0	94.3	3.36	20
STD2_201	o__Clostridiales	(UID1120)	304	250	143	10	237	3	0	0	0	94.23	2.1	100
STB_45	k__Bacteria	(UID2328)	3167	126	75	5	118	3	0	0	0	94.22	2.04	100
STD2_168	o__Clostridiales	(UID1212)	172	263	149	25	236	2	0	0	0	94.19	1.01	100
STD2_36	p__Bacteroidetes	(UID2605)	350	316	210	14	299	3	0	0	0	94.19	1.19	0
STE_27	c__Deltaproteobacteria	(UID3216)	83	247	155	10	233	4	0	0	0	94.19	2.26	75
STF2_156	o__Bacteroidales	(UID2617)	213	406	265	17	385	4	0	0	0	94.15	1.51	75
STF2_158	o__Clostridiales	(UID1120)	304	247	141	10	233	4	0	0	0	94.15	2.01	75
STF1_135	p__Euryarchaeota	(UID54)	90	234	153	33	186	15	0	0	0	94.14	6.93	53.33
STF1_200	o__Clostridiales	(UID1212)	172	263	149	17	241	5	0	0	0	94.14	1.34	0
STC_117	c__Betaproteobacteria	(UID3959)	235	418	210	15	401	2	0	0	0	94.13	0.05	0
STB_131	p__Euryarchaeota	(UID54)	90	234	153	12	220	2	0	0	0	94.12	1.31	0
STCSWMC_202	p__Firmicutes	(UID239)	1324	176	102	7	166	3	0	0	0	94.12	2.45	33.33
STCSWMC_2	p__Euryarchaeota	(UID49)	95	228	153	12	212	4	0	0	0	94.12	1.41	25
STF1_7	k__Bacteria	(UID2495)	2993	142	88	7	134	1	0	0	0	94.11	1.14	100
STD1_113	k__Bacteria	(UID1452)	924	163	110	7	154	2	0	0	0	94.09	1.82	50
STD1_41	k__Bacteria	(UID2569)	434	278	186	11	264	3	0	0	0	94.09	1.08	0
STE_74	k__Bacteria	(UID2569)	434	278	186	13	259	4	2	0	0	94.09	2.6	10
STF2_15	k__Bacteria	(UID2570)	433	273	183	14	246	12	1	0	0	94.08	4.8	60
STF2_215	o__Bacteroidales	(UID2621)	198	427	260	19	390	17	1	0	0	94.04	5.42	15
STF1_227	k__Bacteria	(UID2329)	174	149	89	8	136	5	0	0	0	94.01	3.76	0
STCSWMC_7	o__Clostridiales	(UID1212)	172	263	149	13	244	6	0	0	0	94	3.38	33.33
STE_194	p__Firmicutes	(UID1022)	100	295	158	13	275	7	0	0	0	93.99	1.92	14.29
STD2_31	k__Bacteria	(UID2495)	2993	147	91	6	132	9	0	0	0	93.96	8.34	44.44
STB_7	p__Bacteroidetes	(UID2605)	350	316	210	15	298	3	0	0	0	93.95	0.95	0
STD2_178	c__Clostridia	(UID1118)	387	223	124	10	206	7	0	0	0	93.95	3.76	28.57
STE_29	k__Bacteria	(UID2982)	88	230	148	10	217	3	0	0	0	93.92	1.38	0
STF2_44	p__Bacteroidetes	(UID2605)	350	316	210	22	292	2	0	0	0	93.92	0.71	0
STF1_291	c__Deltaproteobacteria	(UID3216)	83	247	155	11	228	8	0	0	0	93.87	4.84	50
STCSWMC_230	o__Clostridiales	(UID1120)	304	247	141	16	229	2	0	0	0	93.83	1.42	50
STF1_282	k__Bacteria	(UID2495)	2993	143	89	6	136	1	0	0	0	93.82	1.12	0
STB_109	k__Bacteria	(UID2565)	2921	152	93	10	137	5	0	0	0	93.8	3.29	20
STF1_238	c__Clostridia	(UID1118)	387	223	124	14	206	3	0	0	0	93.8	2.02	33.33
STF2_196	p__Bacteroidetes	(UID2605)	350	316	210	17	298	1	0	0	0	93.79	0.48	0
STF2_99	o__Clostridiales	(UID1120)	304	247	141	12	233	2	0	0	0	93.79	1.42	0
STB_101	k__Bacteria	(UID3060)	138	337	245	24	302	11	0	0	0	93.74	3.51	36.36
STA_50	k__Bacteria	(UID2565)	2921	152	93	7	144	1	0	0	0	93.73	1.08	0
STB_156	k__Bacteria	(UID1452)	924	151	101	7	143	1	0	0	0	93.73	0.5	0
STB_171	k__Bacteria	(UID2565)	2921	152	93	8	142	2	0	0	0	93.73	2.15	50
STF2_183	c__Clostridia	(UID1085)	35	420	196	23	392	5	0	0	0	93.73	1.83	80
STE_206	k__Bacteria	(UID209)	5443	103	58	5	93	5	0	0	0	93.68	2.64	100
STD2_223	o__Clostridiales	(UID1226)	155	278	158	14	264	0	0	0	0	93.67	0	0
STF1_231	c__Clostridia	(UID1118)	387	223	124	10	211	2	0	0	0	93.66	1.21	50
STD1_20	p__Proteobacteria	(UID3882)	1493	258	161	20	234	4	0	0	0	93.64	1.09	100
STF1_125	o__Selenomonadales	(UID1024)	64	334	167	17	303	14	0	0	0	93.64	3.61	42.86
STC_50	k__Bacteria	(UID2495)	2993	143	89	19	122	2	0	0	0	93.63	2.25	0
STCSWMC_132	p__Bacteroidetes	(UID2605)	350	316	210	21	292	3	0	0	0	93.63	0.95	0
STD1_13	p__Euryarchaeota	(UID49)	95	228	153	15	210	3	0	0	0	93.63	1.96	0
STD2_167	p__Proteobacteria	(UID3880)	1495	261	164	14	244	3	0	0	0	93.63	1.83	0
STD2_224	o__Bacteroidales	(UID2654)	163	486	266	19	463	4	0	0	0	93.61	1.17	50
STD1_3	k__Bacteria	(UID3187)	2258	188	117	8	176	3	1	0	0	93.59	4.27	16.67
STF1_95	p__Bacteroidetes	(UID2605)	350	316	210	16	298	2	0	0	0	93.56	0.95	50
STD2_129	k__Bacteria	(UID2569)	434	278	186	14	263	1	0	0	0	93.55	0.18	100
STF2_66	p__Bacteroidetes	(UID2605)	350	316	210	16	293	7	0	0	0	93.48	2.62	28.57
STE_181	p__Bacteroidetes	(UID2605)	350	316	210	23	290	3	0	0	0	93.44	0.95	0
STF2_185	k__Bacteria	(UID2570)	433	273	183	28	236	9	0	0	0	93.44	2.4	100
STE_85	k__Bacteria	(UID209)	5443	104	58	12	85	7	0	0	0	93.42	5.69	0
STD1_137	k__Bacteria	(UID2495)	2993	147	91	6	141	0	0	0	0	93.41	0	0
STE_8	k__Bacteria	(UID2495)	2993	147	91	6	140	1	0	0	0	93.41	1.1	0
STF1_37	k__Bacteria	(UID2495)	2993	147	91	6	141	0	0	0	0	93.41	0	0
STF2_104	p__Euryarchaeota	(UID3)	148	188	125	12	174	2	0	0	0	93.39	0.93	50
STF1_172	k__Bacteria	(UID2570)	433	273	183	18	251	4	0	0	0	93.37	1.55	75
STB_53	c__Betaproteobacteria	(UID3959)	235	418	210	31	376	11	0	0	0	93.35	2.31	9.09
STC_20	o__Burkholderiales	(UID4000)	193	427	214	22	362	43	0	0	0	93.35	8.89	30.23
STA_19	p__Proteobacteria	(UID3882)	1493	258	161	21	225	12	0	0	0	93.33	4.08	33.33
STD2_113	k__Bacteria	(UID2328)	3167	126	75	6	117	3	0	0	0	93.33	2.67	100
STD2_54	k__Bacteria	(UID2328)	3167	126	75	6	118	2	0	0	0	93.33	1.78	0
STF1_3	p__Euryarchaeota	(UID3)	148	188	125	9	176	3	0	0	0	93.33	1.33	33.33
STA_34	k__Bacteria	(UID2982)	88	230	148	13	209	8	0	0	0	93.3	1.76	37.5
STA_15	c__Betaproteobacteria	(UID3959)	235	419	211	21	393	5	0	0	0	93.29	0.71	0
STD2_229	o__Clostridiales	(UID1212)	172	263	149	14	247	2	0	0	0	93.29	1.01	0
STD2_109	c__Clostridia	(UID1118)	387	223	124	15	205	3	0	0	0	93.28	1.88	33.33
STD2_265	k__Bacteria	(UID2569)	434	278	186	15	255	8	0	0	0	93.28	2.17	50
STF1_42	k__Bacteria	(UID2569)	434	278	186	15	258	5	0	0	0	93.28	1.79	20
STE_139	o__Sphingomonadales	(UID3310)	26	569	293	41	507	21	0	0	0	93.26	3.81	33.33
STF2_75	k__Bacteria	(UID2329)	174	149	89	7	140	2	0	0	0	93.26	2.25	0
STF1_121	k__Bacteria	(UID1452)	924	151	101	8	142	1	0	0	0	93.23	0.99	100
STF1_43	c__Deltaproteobacteria	(UID3216)	83	247	155	11	225	10	1	0	0	93.23	7.42	46.15
STD2_264	k__Bacteria	(UID209)	5443	105	59	7	95	3	0	0	0	93.22	3.54	66.67
STF2_129	k__Bacteria	(UID209)	5443	105	59	4	101	0	0	0	0	93.22	0	0
STF2_168	k__Bacteria	(UID209)	5443	105	59	4	101	0	0	0	0	93.22	0	0
STF2_16	o__Selenomonadales	(UID1024)	64	334	167	16	310	8	0	0	0	93.21	1.8	62.5
STE_88	k__Bacteria	(UID2495)	2993	142	88	6	136	0	0	0	0	93.18	0	0
STC_65	k__Bacteria	(UID2570)	433	273	183	15	258	0	0	0	0	93.17	0	0
STCSWMC_205	p__Bacteroidetes	(UID2605)	350	316	210	25	289	2	0	0	0	93.17	0.95	50
STF2_43	k__Bacteria	(UID2570)	433	273	183	20	252	1	0	0	0	93.17	0.27	100
STD1_76	p__Euryarchaeota	(UID49)	95	228	153	14	208	6	0	0	0	93.14	3.59	33.33
STB_94	k__Bacteria	(UID2982)	88	230	148	12	211	7	0	0	0	93.11	4.08	28.57
STC_100	k__Bacteria	(UID203)	5449	104	58	4	83	17	0	0	0	93.1	6.9	5.88
STE_126	p__Firmicutes	(UID239)	1324	176	102	8	162	6	0	0	0	93.1	3.76	33.33
STF2_59	p__Euryarchaeota	(UID3)	148	187	124	12	170	5	0	0	0	93.08	3.39	40
STF1_15	k__Bacteria	(UID2495)	2993	143	89	8	126	9	0	0	0	93.07	3.88	33.33
STE_76	k__Bacteria	(UID3060)	138	337	245	21	305	11	0	0	0	93.06	2.13	72.73
STD2_177	o__Clostridiales	(UID1226)	155	278	158	18	260	0	0	0	0	93.04	0	0
STD2_98	o__Clostridiales	(UID1226)	155	278	158	15	260	3	0	0	0	93.04	1.9	0
